0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	1
11	0
12	1
13	0
14	1
15	0
16	1
17	0
18	0
19	0
20	1
21	1
22	0
23	0
24	1
25	0
26	0
27	1
28	1
29	0
30	0
31	0
32	1
33	0
34	1
35	0
36	1
37	0
38	0
39	1
40	0
41	0
42	0
43	1
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	1
53	0
54	1
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	1
66	0
67	0
68	0
69	0
70	0
71	0
72	1
73	0
74	1
75	0
76	1
77	1
78	1
79	0
80	1
81	1
82	0
83	0
84	0
85	0
86	1
87	0
88	0
89	1
90	1
91	0
92	0
93	0
94	1
95	0
96	0
97	0
98	0
99	0
100	0
101	1
